Name,Sex,Age,10th,12th,Stream,IQ,General Test Score,Skill1,Skill2,Skill3,Skill4,Competetive Exam,Suggested Career
SHIVANI,Female,19,93,90,Biology,108,59.2,Mathematics,Research,Empathy,Menu Planning,No,Scientist/Researcher
VAISHALI KAPOOR,Female,20,93,84,Maths,124,64.3,Menu Planning,Cooking,Critical Thinking,Programming,No,No suitable match
IGNATIUS TATENDA MHEMBERE,Female,18,72,76,Maths,134,70.0,Photography,Analytical Skills,Music,Photography,No,No suitable match
ARSH KASUHAL,Male,20,97,99,Biology,132,70.6,Problem Solving,Mathematics,Logical Thinking,Team Management,No,No suitable match
ANIKET TRIBEDI,Female,19,76,84,Commerce,94,59.3,Subject Knowledge,Sculpting,Painting,Curriculum Development,No,Teacher/Educator
HARSHWARDHAN CHOUDHARY,Female,18,91,96,Biology,118,79.1,Subject Knowledge,Team Management,Public Speaking,Data Analysis,Yes,Teacher/Educator
SHREY DUA,Female,17,94,96,Biology,121,67.8,Empathy,Teaching,Team Management,Baking,No,Teacher/Educator
AMAAN AHMED KHAN,Male,19,71,97,Arts,127,94.0,Baking,Medical Knowledge,Art,Photography,Yes,Artist
DEVANG PANDEY,Female,18,74,91,Biology,137,66.9,Team Management,Attention to Detail,Food Presentation,Baking,No,No suitable match
SHRESTH GAUTAM,Female,17,92,94,Maths,117,59.3,Leadership,Critical Thinking,Coding,Medical Knowledge,No,Artist
ABHISHEK SHARMA,Male,17,85,86,Commerce,135,89.4,Physical Fitness,Research,Baking,Data Analysis,Yes,No suitable match
OINAM LOBELLIYA DEVI,Male,20,92,76,Maths,105,90.0,Critical Thinking,Critical Thinking,Painting,Endurance,Yes,Scientist/Researcher
SURYA TREHAN,Male,19,99,90,Maths,84,60.8,Baking,Teaching,Menu Planning,Food Presentation,No,No suitable match
JAY GADOYA,Male,17,78,86,Commerce,103,95.4,Baking,Patient Care,Physical Fitness,Classroom Management,Yes,Teacher/Educator
LIPAKSHI,Male,18,72,79,Arts,99,69.5,Painting,Determination,Subject Knowledge,Painting,No,Artist
HARMAN SINGH GOGE,Female,17,98,80,Biology,103,54.5,Sculpting,Mathematics,Art,Attention to Detail,No,Teacher/Educator
GOURAV,Male,17,98,92,Biology,94,82.3,Food Presentation,Coding,Logical Thinking,Teaching,Yes,No suitable match
AAYUSHI ,Female,20,77,98,Commerce,91,71.3,Data Analysis,Public Speaking,Team Management,Physical Fitness,No,Software Developer
GURKIRAT SINGH,Female,20,89,79,Biology,88,61.6,Team Management,Subject Knowledge,Research,Team Management,No,Scientist/Researcher
AJAY,Male,18,92,78,Arts,120,68.7,Problem Solving,Empathy,Menu Planning,Determination,No,No suitable match
RISHU SHUKLA,Male,20,82,92,Biology,134,94.2,Sports Skills,Medical Knowledge,Analytical Skills,Patient Care,Yes,Doctor
NEHA BHANDARI,Female,17,94,93,Biology,128,85.4,Art,Music,Data Analysis,Discipline,Yes,Chef
UDHAYVEER SINGH,Female,17,93,91,Maths,91,82.5,Baking,Physical Fitness,Painting,Empathy,Yes,Software Developer
ASEEM GUPTA,Female,20,77,87,Maths,96,58.8,Determination,Data Analysis,Painting,Logical Thinking,No,Scientist/Researcher
HARMANJOT KAUR,Female,17,82,99,Commerce,123,54.8,Painting,Data Analysis,Curriculum Development,Discipline,No,Teacher/Educator
MOHAMMAD TARIQ ANSARI,Male,17,73,88,Maths,116,70.6,Painting,Painting,Physical Fitness,Coding,No,Software Developer
MANIK MUNJAL,Male,18,84,75,Biology,136,81.4,Logical Thinking,Data Analysis,Public Speaking,Programming,Yes,Scientist/Researcher
NIRAJ KUMAR,Male,20,92,93,Maths,117,89.4,Menu Planning,Leadership,Mathematics,Drawing,Yes,Software Developer
AKRITI,Female,17,99,84,Biology,132,92.9,Teaching,Coding,Medical Knowledge,Curriculum Development,Yes,Teacher/Educator
SWATI SINGH,Female,20,99,91,Biology,115,99.1,Medical Knowledge,Physical Fitness,Problem Solving,Sports Skills,Yes,Doctor
MONIKA DUGGAL,Male,18,91,95,Maths,104,69.1,Programming,Discipline,Classroom Management,Curriculum Development,No,Teacher/Educator
JYOTI DOGRA,Female,20,87,95,Commerce,81,69.7,Creativity,Cooking,Coding,Discipline,No,No suitable match
KHUSHBOO,Male,17,89,91,Biology,120,92.7,Subject Knowledge,Creativity,Painting,Public Speaking,Yes,Teacher/Educator
SEJAL,Male,20,89,87,Maths,131,53.9,Discipline,Music,Sports Skills,Patient Care,No,Chef
RITIKA,Male,17,96,77,Maths,118,65.4,Discipline,Drawing,Menu Planning,Problem Solving,No,Software Developer
TRISHA,Female,17,81,89,Commerce,80,97.7,Coding,Mathematics,Discipline,Endurance,Yes,Software Developer
SPARSH KUMAR,Male,17,81,82,Commerce,131,63.4,Public Speaking,Medical Knowledge,Music,Data Analysis,No,Teacher/Educator
RANDHIR SINGH,Female,18,94,80,Arts,95,70.9,Menu Planning,Team Management,Music,Curriculum Development,No,Artist
DAKSH  RATHI,Male,20,89,77,Commerce,94,74.4,Logical Thinking,Cooking,Cooking,Teaching,No,Software Developer
DARPAN,Female,18,83,95,Arts,133,56.4,Sculpting,Photography,Subject Knowledge,Attention to Detail,No,Artist
NEERAJ THAKUR,Male,20,97,77,Commerce,98,72.9,Photography,Photography,Empathy,Leadership,No,Teacher/Educator
NITIN DHAKLA,Male,18,79,88,Maths,92,68.2,Art,Patient Care,Music,Baking,No,No suitable match
BISWIN THOMAS K,Male,19,70,83,Maths,120,87.2,Classroom Management,Mathematics,Menu Planning,Curriculum Development,Yes,Teacher/Educator
SABINA,Female,17,94,80,Biology,83,92.6,Physical Fitness,Critical Thinking,Creativity,Endurance,Yes,No suitable match
MEGHNA KOLUSH,Female,17,95,91,Maths,132,64.2,Problem Solving,Mathematics,Teaching,Mathematics,No,Software Developer
HARSHVIR SINGH BATTH ,Male,18,96,91,Maths,103,88.4,Medical Knowledge,Empathy,Data Analysis,Attention to Detail,Yes,No suitable match
AMAAN AHMED KHAN,Male,19,71,97,Arts,127,94.0,Baking,Medical Knowledge,Art,Photography,Yes,Artist
PUSPANJALI KUMARI,Male,17,71,93,Maths,87,55.5,Team Management,Sports Skills,Subject Knowledge,Curriculum Development,No,Teacher/Educator
AAMIR SHAFI BANDAY,Female,20,77,85,Biology,137,66.0,Curriculum Development,Menu Planning,Research,Menu Planning,No,Scientist/Researcher
REECHA GULERIA,Female,18,74,77,Biology,82,91.1,Baking,Patient Care,Public Speaking,Determination,Yes,Teacher/Educator
RAJKUMARI MENAKA DEVI,Female,17,84,96,Biology,126,85.2,Art,Teaching,Data Analysis,Art,Yes,Scientist/Researcher
Sonia,Female,17,96,81,Maths,98,60.7,Medical Knowledge,Data Analysis,Patient Care,Critical Thinking,No,No suitable match
PRADIP KUMAR,Female,18,87,89,Commerce,85,96.9,Analytical Skills,Discipline,Drawing,Public Speaking,Yes,Teacher/Educator
RAVNEET KAUR,Male,18,93,91,Maths,121,59.8,Photography,Art,Sculpting,Empathy,No,Software Developer
AYUSH ,Female,20,99,77,Arts,106,70.7,Sculpting,Programming,Public Speaking,Sports Skills,No,Artist
AMAN SHARMA,Female,20,81,87,Biology,139,97.0,Team Management,Mathematics,Leadership,Music,Yes,No suitable match
SAKSHI HEDAU,Female,17,98,88,Maths,126,97.5,Menu Planning,Sculpting,Coding,Endurance,Yes,Software Developer
SYED ZESHAN HAIDER KAZMI,Male,17,84,97,Maths,114,79.6,Cooking,Music,Critical Thinking,Mathematics,Yes,Software Developer
SPARSH KUMAR,Male,18,81,82,Commerce,131,63.4,Public Speaking,Medical Knowledge,Music,Data Analysis,No,Teacher/Educator
ANAND KAND,Male,17,79,78,Arts,122,81.0,Teaching,Sports Skills,Critical Thinking,Problem Solving,Yes,Software Developer
AJAY LAL,Male,17,86,83,Maths,100,83.0,Food Presentation,Team Management,Baking,Problem Solving,Yes,Software Developer
VIKAS KUMAR,Male,18,83,97,Maths,94,92.2,Drawing,Music,Mathematics,Classroom Management,Yes,No suitable match
Abhinav Saxena ,Female,17,71,77,Arts,91,82.1,Menu Planning,Photography,Research,Problem Solving,Yes,No suitable match
SURAJ KUMAR,Female,17,83,98,Maths,80,80.9,Patient Care,Coding,Menu Planning,Mathematics,Yes,Software Developer
NIRAJ KUMAR,Male,19,92,93,Maths,117,89.4,Menu Planning,Leadership,Mathematics,Drawing,Yes,Software Developer
ARSHDEEP SINGH,Male,20,85,84,Biology,126,65.2,Baking,Cooking,Medical Knowledge,Menu Planning,No,Athlete
PANDEY RISHU RAJ,Male,18,71,79,Maths,101,81.7,Mathematics,Sports Skills,Music,Physical Fitness,Yes,No suitable match
HARMANPREET SINGH,Female,19,86,78,Maths,111,50.3,Logical Thinking,Patient Care,Endurance,Endurance,No,Software Developer
GURSIMRAN KAUR,Female,20,73,92,Maths,133,99.7,Data Analysis,Discipline,Drawing,Discipline,Yes,Scientist/Researcher
HRITIKA RAI,Male,20,81,96,Maths,96,73.7,Team Management,Attention to Detail,Public Speaking,Baking,No,No suitable match
ADITYA SEKHRI,Female,20,90,91,Biology,85,92.7,Attention to Detail,Determination,Programming,Endurance,Yes,No suitable match
SAKSHI CHOPRA,Female,19,89,75,Arts,110,50.5,Sports Skills,Classroom Management,Analytical Skills,Creativity,No,Teacher/Educator
RITIKA ,Female,19,83,98,Maths,131,56.8,Sculpting,Menu Planning,Food Presentation,Discipline,No,No suitable match
ANAND KAND,Male,20,79,78,Arts,122,81.0,Teaching,Sports Skills,Critical Thinking,Problem Solving,Yes,No suitable match
GURSIMRAN KAUR,Female,17,83,93,Biology,132,97.1,Photography,Creativity,Classroom Management,Curriculum Development,Yes,Teacher/Educator
ANUSREE PRAKASH,Male,17,71,80,Biology,134,68.1,Endurance,Logical Thinking,Critical Thinking,Painting,No,Scientist/Researcher
MOHHAMAD AFZAL ,Male,19,75,85,Biology,102,99.1,Physical Fitness,Discipline,Physical Fitness,Analytical Skills,Yes,No suitable match
TAMANNA NAGPAL ,Male,19,77,84,Biology,99,56.9,Data Analysis,Subject Knowledge,Team Management,Sports Skills,No,Scientist/Researcher
PALLAVI,Male,19,96,76,Biology,116,73.1,Art,Subject Knowledge,Discipline,Subject Knowledge,No,Teacher/Educator
GURKAMAL SINGH SHERGILL,Male,20,78,86,Commerce,89,51.1,Creativity,Endurance,Discipline,Research,No,Artist
SIMRAN ,Male,17,80,84,Maths,94,75.8,Determination,Sculpting,Empathy,Team Management,No,Software Developer
ADITYA SHARMA,Female,19,80,85,Maths,86,91.5,Critical Thinking,Empathy,Sports Skills,Public Speaking,Yes,No suitable match
GAURAV THAKUR,Male,19,92,82,Commerce,128,91.6,Endurance,Mathematics,Food Presentation,Physical Fitness,Yes,No suitable match
SANDHU HARPREET SINGH ,Female,18,89,82,Biology,132,66.0,Sports Skills,Programming,Data Analysis,Logical Thinking,No,Scientist/Researcher
NEETIKA RAJORIA,Female,20,95,84,Biology,126,75.9,Curriculum Development,Baking,Painting,Medical Knowledge,No,Teacher/Educator
Ritik Raj,Male,18,87,87,Arts,114,84.3,Menu Planning,Sculpting,Music,Attention to Detail,Yes,Artist
ERA MEHTA,Female,17,75,97,Biology,101,99.3,Discipline,Painting,Programming,Determination,Yes,Doctor
BALARAM SASMAL,Female,18,81,89,Biology,109,56.8,Cooking,Empathy,Public Speaking,Analytical Skills,No,Scientist/Researcher
SUVIDHA JAIN,Male,18,77,78,Biology,121,88.8,Discipline,Determination,Critical Thinking,Baking,Yes,Athlete
KALPNA,Female,18,72,91,Maths,123,54.0,Curriculum Development,Research,Determination,Attention to Detail,No,Scientist/Researcher
TARANDEEP KAUR,Female,20,83,90,Biology,120,85.0,Research,Data Analysis,Art,Leadership,Yes,Scientist/Researcher
JYOTI SHARMA,Male,17,92,76,Biology,113,63.8,Data Analysis,Baking,Painting,Coding,No,Scientist/Researcher
EBENEZER,Male,18,86,78,Commerce,100,58.5,Art,Creativity,Data Analysis,Public Speaking,No,Teacher/Educator
NALIN,Female,20,94,97,Commerce,122,76.5,Classroom Management,Art,Drawing,Drawing,Yes,No suitable match
JAHANVI GOYAL,Female,17,75,86,Maths,110,72.8,Patient Care,Research,Photography,Critical Thinking,No,No suitable match
ARYAN KATARIA,Female,19,71,85,Commerce,103,87.6,Physical Fitness,Analytical Skills,Creativity,Menu Planning,Yes,No suitable match
Jhanvi choudhary,Male,18,96,78,Biology,136,62.2,Painting,Leadership,Subject Knowledge,Logical Thinking,No,Teacher/Educator
ANUBHAV SINGH,Male,17,83,75,Commerce,134,97.5,Determination,Art,Menu Planning,Cooking,Yes,No suitable match
RIDHAMKUMAR DIPAKBHAI NAIK,Male,18,96,75,Maths,81,61.4,Art,Sports Skills,Mathematics,Teaching,No,Software Developer
MANJOT KAUR,Male,19,86,83,Maths,96,75.5,Patient Care,Team Management,Programming,Endurance,No,Software Developer
WILFRED  BUKROH,Male,17,91,84,Maths,91,88.5,Analytical Skills,Photography,Food Presentation,Patient Care,Yes,Scientist/Researcher
SUPRATIM DAS,Female,20,86,75,Maths,94,95.0,Critical Thinking,Research,Baking,Creativity,Yes,No suitable match
ANEESH ARORA,Female,17,74,93,Maths,115,84.7,Food Presentation,Baking,Empathy,Team Management,Yes,Teacher/Educator
HARSHDEEP HOODA,Male,20,84,80,Arts,112,89.7,Team Management,Attention to Detail,Determination,Sports Skills,Yes,Scientist/Researcher
REJA NOEL ZAKARIA WANI,Female,17,77,96,Biology,137,61.9,Logical Thinking,Curriculum Development,Empathy,Attention to Detail,No,Doctor
AMAN DUGGAL,Female,20,72,87,Maths,109,99.2,Critical Thinking,Sculpting,Leadership,Research,Yes,Scientist/Researcher
KUSHAL,Female,19,88,98,Maths,88,63.3,Programming,Drawing,Baking,Discipline,No,Software Developer
PRIYANSHI SRIVASTAVA,Female,19,95,82,Commerce,116,91.4,Problem Solving,Team Management,Medical Knowledge,Patient Care,Yes,Teacher/Educator
AMAN CHANDEL,Male,19,99,88,Maths,140,72.3,Attention to Detail,Empathy,Attention to Detail,Logical Thinking,No,No suitable match
DIOTIMA BOSE,Male,17,98,92,Maths,136,60.7,Medical Knowledge,Determination,Subject Knowledge,Logical Thinking,No,Software Developer
MUKUL,Male,19,80,89,Biology,121,54.7,Public Speaking,Problem Solving,Music,Photography,No,Software Developer
JYOTI,Male,18,98,80,Arts,117,87.2,Menu Planning,Leadership,Team Management,Curriculum Development,Yes,Teacher/Educator
Aman kumar,Male,19,70,94,Maths,120,79.4,Problem Solving,Programming,Medical Knowledge,Menu Planning,Yes,Software Developer
KASHISH NANDA,Male,20,97,80,Maths,88,67.8,Medical Knowledge,Creativity,Creativity,Coding,No,Software Developer
SAMIDHA SWARAJ,Female,20,99,80,Maths,98,86.6,Sculpting,Painting,Attention to Detail,Creativity,Yes,No suitable match
SUKHBEER SINGH,Female,20,73,79,Commerce,89,89.5,Photography,Data Analysis,Mathematics,Sculpting,Yes,No suitable match
HARMANPREET KAUR KALER,Male,17,84,94,Maths,137,71.8,Photography,Logical Thinking,Leadership,Leadership,No,Software Developer
Vikas jakhar,Female,18,93,94,Maths,124,72.1,Problem Solving,Curriculum Development,Painting,Public Speaking,No,Teacher/Educator
IPSHITA KAUR,Female,19,97,99,Maths,116,78.0,Mathematics,Endurance,Public Speaking,Subject Knowledge,Yes,Teacher/Educator
ESHA KHANNA,Male,18,99,96,Commerce,130,64.0,Curriculum Development,Painting,Drawing,Medical Knowledge,No,Athlete
SAHIL,Female,18,80,96,Biology,123,57.0,Data Analysis,Problem Solving,Painting,Mathematics,No,Scientist/Researcher
BALRAM,Male,20,83,86,Maths,91,64.8,Public Speaking,Teaching,Curriculum Development,Attention to Detail,No,Teacher/Educator
Akshita sharma,Male,20,98,75,Arts,117,66.0,Sports Skills,Menu Planning,Classroom Management,Critical Thinking,No,Teacher/Educator
SOUMYA PRABHAKAR,Male,20,87,83,Maths,125,73.8,Public Speaking,Empathy,Research,Baking,No,Scientist/Researcher
PRIYANKA ,Male,17,79,77,Maths,84,60.0,Analytical Skills,Critical Thinking,Sports Skills,Teaching,No,Scientist/Researcher
HANNAH WILSON,Male,18,98,99,Commerce,85,89.8,Menu Planning,Attention to Detail,Problem Solving,Curriculum Development,Yes,No suitable match
AVIK BHATTACHARYA,Male,18,98,88,Biology,102,51.2,Coding,Team Management,Team Management,Teaching,No,No suitable match
Puneet goyal,Female,17,76,91,Maths,88,81.3,Food Presentation,Subject Knowledge,Drawing,Subject Knowledge,Yes,Teacher/Educator
MD ABDULLAH AL NAIM,Female,17,80,76,Commerce,127,82.3,Drawing,Creativity,Medical Knowledge,Medical Knowledge,Yes,No suitable match
NAVEEN KUMAR,Female,17,79,82,Biology,95,53.4,Problem Solving,Music,Attention to Detail,Sports Skills,No,Doctor
DEEPAK YADAV,Male,18,93,96,Commerce,135,69.2,Critical Thinking,Sports Skills,Problem Solving,Cooking,No,No suitable match
ANJALI,Female,18,82,82,Maths,124,97.4,Coding,Programming,Attention to Detail,Photography,Yes,Software Developer
GOKUL NAIR,Male,20,90,93,Biology,80,61.2,Discipline,Data Analysis,Logical Thinking,Cooking,No,Scientist/Researcher
RISHIKA RANA,Male,20,82,76,Maths,89,99.8,Art,Patient Care,Creativity,Food Presentation,Yes,No suitable match
GARIMA BHATIA,Female,18,96,78,Commerce,122,65.6,Baking,Mathematics,Teaching,Mathematics,No,Software Developer
HARSHDEEP SINGH,Female,20,81,90,Biology,96,92.6,Music,Patient Care,Determination,Coding,Yes,Doctor
MS APURVA ARORA,Male,17,85,95,Arts,131,55.0,Art,Public Speaking,Problem Solving,Medical Knowledge,No,No suitable match
RAMKRISHNA KHAN,Female,19,82,94,Maths,140,93.3,Creativity,Leadership,Analytical Skills,Determination,Yes,Scientist/Researcher
LAKSHAY SHARMA,Male,20,84,80,Maths,90,83.2,Analytical Skills,Menu Planning,Logical Thinking,Discipline,Yes,Scientist/Researcher
SHRUTIKA KALTA,Male,18,91,96,Biology,131,53.9,Analytical Skills,Programming,Physical Fitness,Painting,No,Scientist/Researcher
RITIK NAGARIA,Female,20,72,98,Biology,83,79.4,Patient Care,Discipline,Discipline,Classroom Management,Yes,Teacher/Educator
RAJ KUMAR,Male,20,89,83,Arts,105,95.7,Curriculum Development,Food Presentation,Food Presentation,Menu Planning,Yes,No suitable match
PRANAV AGNIHOTRI,Male,20,81,77,Maths,132,55.7,Curriculum Development,Food Presentation,Photography,Leadership,No,Teacher/Educator
RUTENDO VIOLET MAJAYA,Female,19,86,97,Biology,118,50.3,Team Management,Drawing,Menu Planning,Determination,No,No suitable match
ANJALI BHERON,Female,17,80,89,Arts,94,99.4,Mathematics,Logical Thinking,Determination,Menu Planning,Yes,No suitable match
NEHA KASHYAP,Male,18,89,94,Biology,118,99.0,Research,Data Analysis,Music,Mathematics,Yes,Scientist/Researcher
GAGANPREET KAUR GILL,Male,19,73,94,Biology,139,91.0,Teaching,Creativity,Music,Teaching,Yes,Teacher/Educator
GARIMA KALRA,Female,18,97,90,Biology,99,68.3,Photography,Art,Leadership,Cooking,No,No suitable match
ARPITA KHAJURIA,Male,18,90,76,Maths,83,62.0,Creativity,Cooking,Baking,Baking,No,Chef
JAPPREET KAUR,Female,18,77,76,Commerce,112,55.0,Programming,Data Analysis,Coding,Data Analysis,No,Software Developer
KAMANPREET KAUR,Female,19,73,76,Maths,135,51.6,Logical Thinking,Sports Skills,Attention to Detail,Problem Solving,No,Software Developer
EAK NARAYAN DHAKAL,Male,17,71,88,Maths,116,98.4,Sports Skills,Art,Menu Planning,Determination,Yes,No suitable match
SAJANDEEP SINGH,Female,18,74,98,Maths,124,53.0,Analytical Skills,Mathematics,Critical Thinking,Logical Thinking,No,Scientist/Researcher
SHREY DUA,Female,17,94,96,Biology,121,67.8,Empathy,Teaching,Team Management,Baking,No,Teacher/Educator
MEHNOOR KAUR,Male,17,92,79,Arts,140,66.1,Medical Knowledge,Teaching,Discipline,Coding,No,Teacher/Educator
DIPAK NATH,Female,20,71,76,Biology,138,97.9,Critical Thinking,Determination,Coding,Problem Solving,Yes,Doctor
PRIYA AGARWAL,Female,19,71,86,Biology,139,97.3,Programming,Coding,Teaching,Curriculum Development,Yes,Teacher/Educator
RAHUL,Male,19,99,94,Maths,104,64.6,Baking,Analytical Skills,Art,Coding,No,Software Developer
MITAKSHRA NIDHI,Male,20,97,76,Arts,101,55.0,Music,Leadership,Critical Thinking,Problem Solving,No,No suitable match
SARABJOT SINGH MAHAL ,Male,20,77,93,Maths,87,99.0,Creativity,Menu Planning,Food Presentation,Music,Yes,No suitable match
SOURAV SUMAN,Male,17,76,86,Commerce,85,78.8,Sports Skills,Music,Determination,Baking,Yes,No suitable match
Sharon,Female,18,75,99,Arts,123,81.0,Attention to Detail,Sculpting,Leadership,Public Speaking,Yes,Teacher/Educator
Manoj KUMAR Dewangan,Male,19,71,76,Biology,82,90.9,Cooking,Subject Knowledge,Research,Public Speaking,Yes,Teacher/Educator
EKNOOR KAUR ROSHA,Female,18,71,76,Arts,84,76.3,Problem Solving,Team Management,Sculpting,Leadership,No,No suitable match
SAKSHI CHOPRA,Female,18,89,75,Arts,110,50.5,Sports Skills,Classroom Management,Analytical Skills,Creativity,No,Teacher/Educator
POOJA,Female,20,72,99,Arts,137,88.0,Discipline,Creativity,Analytical Skills,Baking,Yes,No suitable match
ASHUTOSH MISHRA,Female,18,96,96,Biology,84,50.9,Photography,Menu Planning,Logical Thinking,Music,No,No suitable match
MAYANK PARNHOLIA,Female,17,94,81,Biology,111,73.6,Attention to Detail,Data Analysis,Data Analysis,Empathy,No,Doctor
NAVLEEN KAUR,Female,20,81,82,Maths,109,80.3,Menu Planning,Coding,Team Management,Logical Thinking,Yes,Software Developer
KARA TERRY,Male,18,90,85,Biology,89,51.0,Empathy,Logical Thinking,Programming,Attention to Detail,No,Doctor
ANMOL SINGH,Female,20,72,99,Maths,104,96.3,Physical Fitness,Mathematics,Music,Analytical Skills,Yes,Scientist/Researcher
RATTANJOT SINGH,Male,17,94,79,Commerce,119,74.5,Classroom Management,Classroom Management,Creativity,Sculpting,No,Teacher/Educator
EBENEZER,Male,17,86,78,Commerce,100,58.5,Art,Creativity,Data Analysis,Public Speaking,No,Teacher/Educator
Barsha Deb,Male,18,97,88,Biology,107,53.4,Empathy,Photography,Music,Medical Knowledge,No,Doctor
MADHAV SINGH CHIB,Male,20,94,88,Maths,109,58.9,Public Speaking,Coding,Sports Skills,Problem Solving,No,Software Developer
KRISHNA MEHTA,Female,18,97,77,Maths,134,62.1,Analytical Skills,Determination,Attention to Detail,Sports Skills,No,No suitable match
KAWALJEET KAUR,Female,18,97,78,Arts,132,85.0,Menu Planning,Baking,Subject Knowledge,Music,Yes,No suitable match
SHIPRA SAINI,Female,20,80,99,Biology,125,67.4,Logical Thinking,Discipline,Data Analysis,Mathematics,No,Scientist/Researcher
GOURAV GOYAL,Female,18,91,83,Maths,108,70.2,Creativity,Food Presentation,Art,Discipline,No,No suitable match
KAMANPREET KAUR,Female,17,73,76,Maths,135,51.6,Logical Thinking,Sports Skills,Attention to Detail,Problem Solving,No,Software Developer
RAJESH SINGH,Female,20,71,98,Biology,135,99.7,Classroom Management,Attention to Detail,Drawing,Coding,Yes,Teacher/Educator
KARANDEEP ,Female,20,74,92,Maths,138,73.1,Painting,Problem Solving,Drawing,Baking,No,Software Developer
AMANDEEP,Male,20,71,98,Commerce,86,67.9,Team Management,Food Presentation,Attention to Detail,Physical Fitness,No,No suitable match
SHAYNA,Female,20,91,82,Commerce,118,58.5,Team Management,Endurance,Medical Knowledge,Empathy,No,No suitable match
ASHWANI,Male,18,90,86,Biology,111,91.1,Discipline,Endurance,Medical Knowledge,Determination,Yes,No suitable match
SURYAM SHARMA,Male,18,79,87,Biology,120,66.6,Drawing,Physical Fitness,Sculpting,Problem Solving,No,No suitable match
KAJAL RANI,Male,17,92,92,Biology,127,94.4,Analytical Skills,Curriculum Development,Logical Thinking,Food Presentation,Yes,Scientist/Researcher
SONAM KUMARI,Male,19,88,85,Maths,118,83.6,Medical Knowledge,Programming,Determination,Medical Knowledge,Yes,Software Developer
VAISHALI KAPOOR,Female,19,93,84,Maths,124,64.3,Menu Planning,Cooking,Critical Thinking,Programming,No,Chef
MAMTA,Female,17,76,83,Arts,82,78.3,Leadership,Baking,Food Presentation,Team Management,No,No suitable match
ABHAY GUPTA,Female,19,96,98,Biology,128,55.4,Curriculum Development,Leadership,Data Analysis,Teaching,No,Teacher/Educator
YASH KHURANA,Female,17,92,92,Arts,93,77.9,Classroom Management,Coding,Discipline,Attention to Detail,Yes,Teacher/Educator
YASH KUMAI,Male,18,73,90,Commerce,111,78.0,Attention to Detail,Medical Knowledge,Cooking,Critical Thinking,No,No suitable match
ALINA RAI,Female,20,82,83,Maths,84,76.5,Music,Food Presentation,Medical Knowledge,Curriculum Development,No,Teacher/Educator
PRINCE,Male,20,98,97,Arts,112,55.0,Patient Care,Analytical Skills,Curriculum Development,Programming,No,Teacher/Educator
MANAV GOEL,Female,18,75,78,Maths,80,81.4,Attention to Detail,Mathematics,Medical Knowledge,Art,Yes,No suitable match
AKSHIT CHANDEL,Female,20,98,95,Commerce,115,94.6,Problem Solving,Team Management,Photography,Patient Care,Yes,Software Developer
RUCHIR KUMAR,Male,20,94,75,Commerce,84,63.0,Endurance,Sculpting,Data Analysis,Discipline,No,No suitable match
Aleena Saji,Male,19,83,99,Biology,108,57.6,Endurance,Classroom Management,Baking,Analytical Skills,No,Scientist/Researcher
SWETA KUMARI TIWARI,Female,18,80,82,Biology,121,63.3,Patient Care,Art,Painting,Mathematics,No,Doctor
KRISHNAMURTHY SUSHMA MURTHY,Female,19,88,98,Commerce,108,81.8,Art,Medical Knowledge,Photography,Determination,Yes,No suitable match
ABHISHEK KAMBOJ,Female,19,75,89,Maths,131,71.3,Creativity,Art,Critical Thinking,Leadership,No,Teacher/Educator
PRARTHNA,Female,20,87,95,Maths,135,73.1,Coding,Critical Thinking,Classroom Management,Baking,No,Software Developer
GURLEEN SINGH,Female,20,89,76,Commerce,128,63.0,Classroom Management,Sports Skills,Empathy,Photography,No,Teacher/Educator
Deepak chandel,Male,18,71,90,Maths,103,84.7,Cooking,Subject Knowledge,Patient Care,Menu Planning,Yes,No suitable match
TULIKA SHARMA,Male,20,76,98,Biology,110,53.0,Coding,Coding,Data Analysis,Analytical Skills,No,Scientist/Researcher
JAYANT SINGH GOUD,Male,20,77,82,Commerce,86,84.8,Data Analysis,Creativity,Leadership,Programming,Yes,Software Developer
KRISHAN GOYAL,Male,18,71,87,Maths,118,74.4,Leadership,Subject Knowledge,Leadership,Physical Fitness,No,Teacher/Educator
AJAY KUMAR,Female,20,99,88,Maths,127,53.1,Medical Knowledge,Patient Care,Analytical Skills,Sculpting,No,No suitable match
TSEBO PATRICIA MOSEHLE,Female,19,90,82,Maths,135,83.0,Curriculum Development,Art,Coding,Painting,Yes,Software Developer
PRIYA THAKUR,Female,18,96,87,Arts,119,91.0,Programming,Patient Care,Logical Thinking,Critical Thinking,Yes,No suitable match
GURPREET SINGH,Male,20,72,95,Maths,119,77.3,Patient Care,Teaching,Coding,Analytical Skills,No,Software Developer
ANURAG BHIVAJI KALWALE,Male,17,93,79,Maths,81,81.2,Coding,Teaching,Critical Thinking,Sports Skills,Yes,Software Developer
HARMAN SINGH GOGE,Female,18,98,80,Biology,103,54.5,Sculpting,Mathematics,Art,Attention to Detail,No,Artist
Payel Kumari Gupta,Male,18,98,95,Biology,127,57.9,Music,Physical Fitness,Baking,Problem Solving,No,Scientist/Researcher
Lakhwinder singh,Female,17,74,96,Biology,108,59.6,Coding,Cooking,Team Management,Cooking,No,No suitable match
VANSH BALI,Male,20,98,87,Arts,121,72.4,Photography,Programming,Problem Solving,Research,No,No suitable match
